x,y,intensidad,temperatura_real_C
0.0,0.0,0.0,30.0
4.0,0.0,0.0,30.0
8.0,0.0,0.0,30.0
12.0,0.0,0.0,30.0
16.0,0.0,0.0,30.0
20.0,0.0,0.0,30.0
24.0,0.0,0.0,30.0
28.0,0.0,0.0,30.0
32.0,0.0,0.0,30.0
36.0,0.0,0.0,30.0
40.0,0.0,0.0,30.0
44.0,0.0,0.0,30.0
48.0,0.0,0.0,30.0
52.0,0.0,0.0,30.0
56.0,0.0,1e-04,30.0
60.0,0.0,1e-04,30.0
64.0,0.0,1e-04,30.0
68.0,0.0,1e-04,30.0
72.0,0.0,1e-04,30.0
76.0,0.0,1e-04,30.0
80.0,0.0,1e-04,30.0
84.0,0.0,1e-04,30.0
88.0,0.0,1e-04,30.0
92.0,0.0,1e-04,30.0
96.0,0.0,1e-04,30.0
100.0,0.0,1e-04,30.0
104.0,0.0,1e-04,30.0
108.0,0.0,1e-04,30.0
112.0,0.0,1e-04,30.0
116.0,0.0,1e-04,30.0
120.0,0.0,0.0002,30.0
124.0,0.0,0.0002,30.0
128.0,0.0,0.0002,30.0
132.0,0.0,0.0002,30.0
136.0,0.0,0.0002,30.0
140.0,0.0,0.0002,30.0
144.0,0.0,0.0002,30.0
148.0,0.0,0.0002,30.0
152.0,0.0,0.0002,30.0
156.0,0.0,0.0003,30.0
160.0,0.0,0.0003,30.0
164.0,0.0,0.0003,30.0
168.0,0.0,0.0003,30.0
172.0,0.0,0.0003,30.0
176.0,0.0,0.0003,30.0
180.0,0.0,0.0004,30.0
184.0,0.0,0.0004,30.0
188.0,0.0,0.0004,30.0
192.0,0.0,0.0004,30.0
196.0,0.0,0.0005,30.0
200.0,0.0,0.0005,30.0
204.0,0.0,0.0005,30.0
208.0,0.0,0.0005,30.0
212.0,0.0,0.0006,30.0
216.0,0.0,0.0006,30.0
220.0,0.0,0.0006,30.0
224.0,0.0,0.0006,30.0
228.0,0.0,0.0007,30.0
232.0,0.0,0.0007,30.0
236.0,0.0,0.0007,30.0
240.0,0.0,0.0008,30.0
244.0,0.0,0.0008,30.0
248.0,0.0,0.0009,30.0
252.0,0.0,0.0009,30.0
256.0,0.0,0.0009,30.0
260.0,0.0,0.001,30.0
264.0,0.0,0.001,30.0
268.0,0.0,0.0011,30.0
272.0,0.0,0.0011,30.0
276.0,0.0,0.0011,30.0
280.0,0.0,0.0012,30.0
284.0,0.0,0.0012,30.0
288.0,0.0,0.0013,30.0
292.0,0.0,0.0013,30.0
296.0,0.0,0.0014,30.0
300.0,0.0,0.0014,30.0
304.0,0.0,0.0015,30.0
308.0,0.0,0.0015,30.0
312.0,0.0,0.0016,30.0
316.0,0.0,0.0016,30.0
320.0,0.0,0.0017,30.0
324.0,0.0,0.0017,30.0
328.0,0.0,0.0018,30.0
332.0,0.0,0.0018,30.0
336.0,0.0,0.0019,30.0
340.0,0.0,0.0019,30.0
344.0,0.0,0.002,30.0
348.0,0.0,0.002,30.0
352.0,0.0,0.0021,30.0
356.0,0.0,0.0021,30.0
360.0,0.0,0.0022,30.0
364.0,0.0,0.0022,30.0
368.0,0.0,0.0023,30.0
372.0,0.0,0.0023,30.0
376.0,0.0,0.0023,30.0
